Layer,Name,GEOID,Population,Longitude,Latitude,LDPC_2021,LDPC_2021_moe,LDPC_2020,LDPC_2020_moe,LDPC_2019,LDPC_2019_moe,LDPC_2018,LDPC_2018_moe,LDPC_2017,LDPC_2017_moe,LDPCH_2016,LDPCH_2016_moe,LDPCH_2015,LDPCH_2015_moe,LDPCH_2014,LDPCH_2014_moe,LDPCH_2013,LDPCH_2013_moe,LDPCH_2012,LDPCH_2012_moe,LDPCH_2011,LDPCH_2011_moe,LDPCH_2010,LDPCH_2010_moe,LDPP_2021,LDPP_2021_moe,LDPP_2020,LDPP_2020_moe,LDPP_2019,LDPP_2019_moe,LDPP_2018,LDPP_2018_moe,LDPP_2017,LDPP_2017_moe,LDPPH_2016,LDPPH_2016_moe,LDPPH_2015,LDPPH_2015_moe,LDPPH_2014,LDPPH_2014_moe,LDPPH_2013,LDPPH_2013_moe,LDPPH_2012,LDPPH_2012_moe,LDPPH_2011,LDPPH_2011_moe,LDPPH_2010,LDPPH_2010_moe,EDG-I_2017-2021,EDG-I_2017-2021_moe,EDG-I_2016-2020,EDG-I_2016-2020_moe,EDG-I_2014-2018,EDG-I_2014-2018_moe,EDG-I_2015-2019,EDG-I_2015-2019_moe,DIV_2017-2021,DIV_2017-2021_moe,DIV_2016-2020,DIV_2016-2020_moe,DIV_2015-2019,DIV_2015-2019_moe,DIV_2014-2018,DIV_2014-2018_moe
Community area,Hyde Park,41,"23,914",-87.59230500,41.79408800,3,,4,,6,,5,,2,,0,,1,,1,,1,,3,,0,,4,,1.0,0.9,1.2,1.0,1.4,0.9,1.2,0.9,0.8,1.0,0.0,,0.5,0.8,0.3,0.4,0.3,0.4,0.7,0.7,0.0,,1.3,1.0,51.84,53.86,48.71,53.93,75.12,45.59,77.00,48.79,3.62,0.97,3.49,1.05,3.10,1.20,2.26,0.90
Community area,Woodlawn,42,"24,630",-87.59492400,41.77887700,15,,8,,7,,20,,16,,5,,7,,12,,20,,19,,17,,10,,2.6,1.1,1.6,0.9,1.0,0.6,2.7,1.0,2.7,1.1,0.7,0.5,1.0,0.6,1.5,0.7,2.4,0.9,2.2,0.8,2.1,0.8,1.3,0.7,49.58,40.47,67.40,42.23,62.15,37.89,68.32,41.53,5.75,1.46,5.90,1.31,8.47,1.90,7.26,1.73
Community area,South Shore,43,"45,611",-87.57279000,41.76158300,49,,43,,53,,42,,53,,18,,9,,18,,9,,25,,21,,24,,3.9,0.9,3.8,0.9,3.3,0.7,2.8,0.7,3.9,0.9,1.3,0.5,0.6,0.3,1.0,0.4,0.5,0.3,1.4,0.5,1.2,0.4,1.4,0.5,63.80,37.65,55.70,27.31,71.49,19.90,61.06,19.80,5.67,1.19,5.62,1.16,5.39,1.02,5.15,0.94
Community area,Chatham,44,"31,804",-87.61596500,41.74020600,19,,15,,32,,27,,22,,3,,6,,11,,4,,9,,4,,6,,3.0,1.1,2.9,1.2,3.8,1.1,3.4,1.1,3.1,1.1,0.4,0.4,0.8,0.5,1.3,0.6,0.4,0.4,1.0,0.6,0.5,0.4,0.7,0.5,58.35,45.64,63.73,34.04,58.14,20.49,60.73,29.01,5.79,1.77,6.15,1.83,5.32,1.63,6.69,1.56
Community area,Avalon Park,45,"9,359",-87.58634700,41.74419700,3,,4,,5,,7,,6,,3,,3,,6,,6,,2,,2,,3,,1.9,1.8,3.3,2.7,2.3,1.7,3.4,2.1,3.6,2.4,1.6,1.5,1.3,1.2,2.3,1.5,2.5,1.6,0.8,1.0,0.8,0.9,1.2,1.1,27.54,38.16,24.72,32.51,58.22,49.03,19.02,74.43,4.07,2.00,3.58,1.87,5.27,2.11,5.36,2.12
Community area,South Chicago,46,"25,975",-87.55143500,41.74124300,29,,26,,39,,42,,48,,6,,7,,10,,14,,22,,25,,25,,3.7,1.1,4.3,1.3,4.1,1.1,4.6,1.1,5.5,1.3,0.6,0.4,0.7,0.4,0.9,0.4,1.1,0.5,1.7,0.6,1.8,0.6,1.9,0.6,52.84,23.89,59.46,25.28,62.73,19.88,64.75,16.94,4.32,1.39,5.23,1.50,4.77,1.36,5.54,1.41
Community area,Burnside,47,"2,514",-87.59647000,41.72818100,0,,0,,0,,3,,0,,0,,1,,0,,2,,4,,2,,2,,0.0,,0.0,,0.0,,4.3,4.0,0.0,,0.0,,1.5,2.5,0.0,,2.9,3.4,5.7,4.6,3.0,3.4,2.4,2.8,99.96,211.56,99.96,211.54,99.81,210.01,99.81,210.54,8.58,7.36,9.67,9.59,7.92,5.03,7.32,3.99
Community area,Calumet Heights,48,"13,085",-87.57272000,41.72967300,1,,2,,3,,4,,5,,0,,3,,2,,1,,1,,1,,0,,0.4,0.7,1.2,1.4,1.2,1.1,1.4,1.1,2.3,1.7,0.0,,1.4,1.3,0.8,0.9,0.4,0.6,0.3,0.6,0.4,0.6,0.0,,81.66,52.48,92.57,109.70,78.54,66.13,73.80,54.25,3.77,1.40,3.86,1.34,4.63,1.68,5.56,2.24
Community area,Roseland,49,"38,934",-87.62336600,41.70658800,17,,21,,42,,57,,52,,12,,20,,11,,18,,27,,26,,34,,2.1,0.8,3.1,1.1,4.0,1.0,4.7,1.0,5.6,1.2,1.3,0.6,1.9,0.7,1.1,0.5,1.6,0.6,2.1,0.7,2.2,0.7,2.8,0.8,44.24,37.30,47.72,29.65,58.21,22.60,60.59,27.55,6.96,1.35,6.05,1.25,5.07,0.92,5.54,1.00
Community area,North Center,5,"35,150",-87.68383900,41.94781100,0,,2,,2,,3,,4,,1,,1,,1,,1,,3,,5,,6,,0.0,,0.3,0.4,0.3,0.3,0.5,0.5,0.6,0.5,0.2,0.3,0.1,0.2,0.2,0.3,0.2,0.3,0.5,0.5,0.9,0.7,1.2,0.8,75.36,17.44,76.57,17.70,77.49,12.01,78.03,11.45,2.32,0.71,1.97,0.61,2.30,0.79,2.12,0.65
Community area,Pullman,50,"6,866",-87.59825200,41.70613100,5,,5,,9,,2,,4,,1,,1,,2,,1,,2,,9,,5,,3.6,2.6,4.6,3.3,5.9,3.1,1.3,1.6,2.8,2.3,0.7,1.1,0.5,0.8,1.1,1.2,0.5,0.8,0.9,1.1,4.0,2.1,2.3,1.7,80.42,112.20,81.79,110.93,62.27,46.57,65.99,46.27,5.36,2.67,5.67,2.65,5.95,2.35,5.51,2.46
Community area,South Deering,51,"14,125",-87.57005800,41.69063900,7,,4,,7,,6,,10,,2,,2,,3,,1,,1,,1,,4,,2.0,1.3,1.4,1.2,1.8,1.1,1.4,0.9,2.5,1.3,0.5,0.6,0.4,0.5,0.6,0.6,0.2,0.3,0.2,0.3,0.2,0.3,0.8,0.7,81.45,27.39,90.99,87.42,75.07,27.27,87.72,70.28,5.33,3.00,4.27,2.86,3.01,1.98,3.42,1.92
Community area,East Side,52,"21,529",-87.53490700,41.70730600,9,,10,,7,,12,,18,,2,,6,,3,,3,,8,,9,,7,,1.6,0.9,2.3,1.2,1.1,0.7,1.9,0.9,3.0,1.2,0.3,0.4,0.9,0.6,0.4,0.4,0.4,0.4,1.0,0.6,1.0,0.6,0.8,0.5,44.69,17.95,50.64,19.60,52.76,22.19,59.55,21.12,2.43,0.84,2.36,0.87,3.42,1.21,3.25,1.15
Community area,West Pullman,53,"25,788",-87.63574500,41.67382000,20,,14,,30,,34,,32,,2,,10,,11,,11,,8,,11,,23,,3.6,1.3,3.0,1.3,4.1,1.2,4.7,1.3,5.0,1.4,0.3,0.3,1.2,0.6,1.4,0.7,1.3,0.6,0.8,0.5,1.1,0.6,2.3,0.8,56.22,44.97,57.28,29.49,54.38,22.31,53.97,17.96,5.11,1.25,5.06,1.20,5.15,1.21,4.43,0.98
Community area,Riverdale,54,"7,229",-87.60284900,41.66013700,2,,1,,2,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0.6,0.7,0.4,0.7,0.5,0.6,0.7,0.8,0.7,1.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,53.54,29.30,59.38,38.30,70.31,34.81,67.84,36.42,3.35,2.33,3.63,2.66,3.21,1.83,3.33,1.91
Community area,Hegewisch,55,"9,884",-87.55680300,41.66818800,0,,0,,3,,2,,2,,1,,2,,1,,1,,1,,2,,0,,0.0,,0.0,,1.6,1.5,1.0,1.1,1.1,1.3,0.5,0.9,1.0,1.2,0.5,0.9,0.6,0.9,0.5,0.9,0.9,1.1,0.0,,21.45,37.93,29.23,27.11,14.75,47.13,32.16,36.65,2.40,1.55,2.20,1.40,1.88,1.45,1.91,1.33
Community area,Garfield Ridge,56,"35,352",-87.76424600,41.79618500,3,,1,,4,,7,,9,,1,,3,,1,,2,,5,,1,,0,,0.5,0.5,0.2,0.3,0.6,0.5,1.0,0.6,1.2,0.7,0.1,0.2,0.4,0.4,0.1,0.2,0.2,0.3,0.6,0.4,0.1,0.2,0.0,,43.88,24.83,46.88,17.31,48.34,17.94,43.46,17.03,2.42,0.81,2.90,0.89,2.83,0.75,2.62,0.74
Community area,Archer Heights,57,"14,282",-87.72636500,41.81087300,7,,4,,6,,5,,8,,1,,4,,4,,1,,5,,4,,9,,1.7,1.0,1.0,0.8,1.1,0.8,1.0,0.7,1.6,0.9,0.2,0.3,0.7,0.6,0.7,0.5,0.1,0.2,0.7,0.5,0.6,0.5,1.4,0.8,15.99,34.57,32.10,33.45,41.21,21.74,34.07,22.33,1.45,0.80,1.50,0.85,2.06,1.22,1.92,1.31
Community area,Brighton Park,58,"45,141",-87.69885900,41.81736400,29,,33,,18,,31,,49,,8,,15,,16,,22,,38,,31,,39,,2.1,0.6,2.4,0.7,1.0,0.4,1.7,0.5,2.8,0.6,0.4,0.2,0.7,0.3,0.7,0.3,0.9,0.3,1.3,0.4,1.0,0.3,1.4,0.4,29.83,14.83,29.12,17.60,45.12,13.30,39.63,14.35,2.28,0.68,1.52,0.52,1.64,0.52,1.53,0.48
Community area,McKinley Park,59,"15,927",-87.67250000,41.82992700,2,,6,,5,,4,,8,,2,,1,,1,,9,,8,,5,,9,,0.6,0.7,1.8,1.2,1.2,0.9,0.9,0.7,1.9,1.1,0.3,0.4,0.2,0.3,0.2,0.3,1.4,0.7,1.2,0.7,0.7,0.5,1.4,0.8,48.11,56.80,57.24,55.41,38.98,22.54,56.16,23.64,3.98,1.23,3.73,1.15,4.44,1.29,4.07,1.29
Community area,Lake View,6,"91,836",-87.65600100,41.94423600,2,,2,,2,,8,,11,,3,,2,,2,,2,,2,,4,,2,,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.4,1.0,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.5,0.4,0.3,0.3,72.29,20.98,73.48,25.19,73.90,18.98,77.28,21.74,1.84,0.45,1.73,0.43,2.04,0.46,1.90,0.41
Community area,Bridgeport,60,"33,593",-87.64878400,41.83615100,2,,5,,3,,2,,6,,2,,1,,1,,0,,4,,6,,3,,0.3,0.4,0.8,0.6,0.4,0.4,0.3,0.3,0.8,0.5,0.3,0.3,0.1,0.2,0.1,0.2,0.0,,0.5,0.4,0.7,0.5,0.4,0.4,57.22,20.19,57.32,18.89,68.94,23.44,68.18,20.91,3.28,1.08,3.13,1.14,2.52,0.73,2.85,0.77
Community area,New City,61,"43,510",-87.65917100,41.80901700,51,,50,,52,,58,,73,,17,,19,,22,,28,,43,,22,,18,,3.8,0.9,4.2,1.0,3.0,0.7,3.4,0.7,4.5,0.8,0.9,0.3,1.0,0.4,1.1,0.4,1.2,0.4,1.6,0.4,0.8,0.3,0.7,0.3,58.81,17.81,49.41,17.85,34.82,11.99,42.47,13.12,3.58,0.89,3.72,0.86,4.34,1.25,4.42,1.16
Community area,West Elsdon,62,"18,249",-87.72421300,41.79297700,9,,2,,8,,5,,3,,0,,3,,3,,2,,2,,2,,6,,1.7,0.9,0.4,0.5,1.3,0.8,0.8,0.6,0.5,0.4,0.0,,0.4,0.4,0.4,0.4,0.2,0.3,0.2,0.3,0.2,0.3,0.8,0.5,20.93,18.80,21.27,23.95,30.28,22.08,27.17,18.92,3.15,1.38,2.48,1.07,2.90,1.66,3.06,1.53
Community area,Gage Park,63,"39,439",-87.69643300,41.79542900,30,,26,,34,,42,,35,,13,,13,,12,,15,,23,,23,,17,,2.2,0.7,2.2,0.7,2.1,0.6,2.5,0.6,2.0,0.6,0.7,0.3,0.7,0.3,0.6,0.3,0.6,0.3,0.9,0.3,0.9,0.3,0.7,0.3,24.15,18.22,32.70,16.10,34.87,13.88,36.55,14.48,4.29,1.83,4.03,1.61,2.62,0.81,2.28,0.69
Community area,Clearing,64,"24,519",-87.76851700,41.77958200,2,,1,,2,,3,,3,,1,,2,,2,,4,,0,,2,,2,,0.5,0.6,0.3,0.4,0.5,0.5,0.7,0.6,0.7,0.7,0.2,0.3,0.4,0.5,0.4,0.5,0.8,0.6,0.0,,0.4,0.4,0.4,0.5,42.25,23.45,56.44,20.65,45.08,22.06,53.33,20.92,3.03,0.96,2.64,0.83,3.33,1.04,3.29,1.04
